category,skills,E
Data Scientist,"scikit-learn, python, statistics, tensorflow, ml",2.8
Software Engineer,"java, data structures, c++, git, react, rest",4.1
Business Analyst,"tableau, reporting, requirement gathering, stakeholder, figma",5.3
Business Analyst,"tableau, requirement gathering, data visualization",1.1
HR,"employee relations, onboarding, hr policies, recruitment, talent acquisition",13.3
DevOps Engineer,"docker, aws, ci/cd, kubernetes",3.8
QA Engineer,"postman, manual testing, pytest",1.2
Sales,"lead generation, cold calling, closing deals, crm, algorithms",5.6
QA Engineer,"postman, performance testing, pytest, test cases",0
Data Scientist,"pandas, tensorflow, sql, keras",4.6
Software Engineer,"algorithms, git, rest, react",6.6
Software Engineer,"react, docker, nodejs, git, java",2.9
DevOps Engineer,"docker, ansible, terraform, linux",5.2
Sales,"salesforce, account management, closing deals, cold calling",5.9
Business Analyst,"excel, reporting, tableau, sql, powerbi, data visualization, interviewing",2.1
QA Engineer,"test cases, selenium, performance testing",3.9
DevOps Engineer,"terraform, ansible, aws, bash, monitoring, linux",8.1
Marketing,"google ads, seo, analytics, email marketing",4.1
Sales,"crm, salesforce, lead generation, account management, employee relations",1.7
HR,"hr policies, recruitment, onboarding",4.5
Marketing,"google ads, content, email marketing, campaign, analytics, seo",0
QA Engineer,"postman, manual testing, selenium, pytest, test cases",3.6
UI/UX Designer,"wireframing, css, prototyping, campaign",5.4
Marketing,"seo, social media, email marketing, reporting",8.2
HR,"hr policies, onboarding, recruitment, employee relations, interviewing",5
QA Engineer,"manual testing, test cases, postman, bug tracking",5.6
Sales,"crm, lead generation, account management, salesforce, linux",3.4
UI/UX Designer,"usability testing, adobe xd, html, wireframing",2.9
UI/UX Designer,"responsive design, user research, prototyping, adobe xd, figma, automation",0
HR,"payroll, interviewing, recruitment, onboarding, talent acquisition, hr policies",5.3
Marketing,"branding, content, campaign, stakeholder",1.6
HR,"talent acquisition, hr policies, payroll, recruitment, scikit-learn",8.1
UI/UX Designer,"usability testing, html, responsive design, figma, css",1.9
DevOps Engineer,"jenkins, aws, ansible, selenium",1.7
QA Engineer,"selenium, postman, performance testing, test cases, manual testing, automation, rest",5.7
Product Manager,"wireframing, stakeholder, communication, roadmap",0
HR,"employee relations, onboarding, hr policies, recruitment, interviewing",12.2
DevOps Engineer,"linux, jenkins, ansible, terraform, bash",7.1
Business Analyst,"sql, powerbi, tableau, stakeholder, requirement gathering, excel",2.9
DevOps Engineer,"jenkins, linux, aws, docker, ci/cd, sql",0
UI/UX Designer,"usability testing, adobe xd, user research, figma, html, prototyping",4.5
UI/UX Designer,"css, figma, wireframing, adobe xd, user research, usability testing, campaign",3
HR,"hr policies, talent acquisition, interviewing, payroll, employee relations, google ads",4
Data Scientist,"nlp, r, statistics, numpy, pandas, excel",1.1
Product Manager,"sql, stakeholder, analytics, user research, roadmap, agile",5.3
Sales,"crm, account management, salesforce, closing deals",4.3
UI/UX Designer,"html, responsive design, css, wireframing, prototyping",7.6
Software Engineer,"algorithms, c++, rest, data structures, git",5.4
Software Engineer,"data structures, sql, react, java, rest, git",2
UI/UX Designer,"user research, responsive design, css",1.6
Business Analyst,"requirement gathering, tableau, sql",8.8
DevOps Engineer,"terraform, monitoring, ansible, ci/cd",3.8
Data Scientist,"nlp, ml, r",6.9
QA Engineer,"performance testing, postman, manual testing, test cases, pytest, pricing",0.5
Marketing,"content, branding, social media, campaign",1.1
DevOps Engineer,"terraform, monitoring, ci/cd",5.1
DevOps Engineer,"bash, monitoring, terraform, ansible, jenkins",7.9
Marketing,"google ads, social media, email marketing, analytics",5.6
Data Scientist,"scikit-learn, nlp, sql, statistics, r",5
HR,"hr policies, employee relations, talent acquisition, recruitment, payroll, onboarding",3.8
QA Engineer,"automation, test cases, selenium, performance testing, pytest, postman",6.7
Product Manager,"analytics, communication, wireframing, ml",8.9
QA Engineer,"automation, manual testing, postman, selenium, performance testing, test cases",2.2
HR,"hr policies, interviewing, payroll, talent acquisition, recruitment",12.2
Business Analyst,"tableau, stakeholder, reporting, excel",4.9
Product Manager,"roadmap, sql, communication, wireframing, pricing",2.9
Data Scientist,"deep learning, python, ml",0
HR,"interviewing, talent acquisition, hr policies, onboarding, recruitment",2.8
Marketing,"campaign, content, social media, email marketing",1.5
Data Scientist,"keras, pandas, statistics, tensorflow, r, python",3.8
DevOps Engineer,"terraform, ansible, jenkins, aws, linux, bash, closing deals",8.9
UI/UX Designer,"css, html, responsive design, usability testing, user research, wireframing",4.3
Product Manager,"agile, stakeholder, communication, user research, wireframing",2.8
QA Engineer,"manual testing, selenium, pytest, bug tracking, performance testing, postman",3.5
QA Engineer,"manual testing, selenium, test cases, postman",2.7
Business Analyst,"reporting, powerbi, requirement gathering, stakeholder, sql, tableau",5
Software Engineer,"docker, sql, react, rest, java",1.8
DevOps Engineer,"terraform, ci/cd, bash, kubernetes",11.8
Software Engineer,"python, algorithms, microservices, react, email marketing",8.9
Sales,"cold calling, salesforce, crm, lead generation, closing deals, account management",2.2
Business Analyst,"data visualization, powerbi, tableau",7.3
Marketing,"email marketing, seo, campaign, content",8.2
Data Scientist,"tensorflow, numpy, python, r",8.8
Sales,"salesforce, account management, cold calling",4
HR,"onboarding, hr policies, talent acquisition, employee relations, recruitment",5.3
Business Analyst,"requirement gathering, stakeholder, reporting, tableau, sql",2.6
